Keyframe_no cam_Tx cam_Ty cam_Tz cam_Rx cam_Ry cam_Rz Light_status phineas~Tx phineas~Ty phineas~Tz phineas~Sx phineas~Sy phineas~Sz body-Rx body-Ry body-Rz body-Sx body-Sy body-Sz face-Rx face-Ry face-Rz face-Sx face-Sy face-Sz hair-Rx hair-Ry hair-Rz hair-Sx hair-Sy hair-Sz sleeve_left-Rx sleeve_left-Ry sleeve_left-Rz sleeve_left-Sx sleeve_left-Sy sleeve_left-Sz hand_left-Rx hand_left-Ry hand_left-Rz hand_left-Sx hand_left-Sy hand_left-Sz sleeve_right-Rx sleeve_right-Ry sleeve_right-Rz sleeve_right-Sx sleeve_right-Sy sleeve_right-Sz hand_right-Rx hand_right-Ry hand_right-Rz hand_right-Sx hand_right-Sy hand_right-Sz thigh_left-Rx thigh_left-Ry thigh_left-Rz thigh_left-Sx thigh_left-Sy thigh_left-Sz leg_left-Rx leg_left-Ry leg_left-Rz leg_left-Sx leg_left-Sy leg_left-Sz shoe_left-Rx shoe_left-Ry shoe_left-Rz shoe_left-Sx shoe_left-Sy shoe_left-Sz thigh_right-Rx thigh_right-Ry thigh_right-Rz thigh_right-Sx thigh_right-Sy thigh_right-Sz leg_right-Rx leg_right-Ry leg_right-Rz leg_right-Sx leg_right-Sy leg_right-Sz shoe_right-Rx shoe_right-Ry shoe_right-Rz shoe_right-Sx shoe_right-Sy shoe_right-Sz perry~Tx perry~Ty perry~Tz perry~Sx perry~Sy perry~Sz body-Rx body-Ry body-Rz body-Sx body-Sy body-Sz face-Rx face-Ry face-Rz face-Sx face-Sy face-Sz eye_left-Rx eye_left-Ry eye_left-Rz eye_left-Sx eye_left-Sy eye_left-Sz eye_ball_left-Rx eye_ball_left-Ry eye_ball_left-Rz eye_ball_left-Sx eye_ball_left-Sy eye_ball_left-Sz eye_right-Rx eye_right-Ry eye_right-Rz eye_right-Sx eye_right-Sy eye_right-Sz eye_ball_right-Rx eye_ball_right-Ry eye_ball_right-Rz eye_ball_right-Sx eye_ball_right-Sy eye_ball_right-Sz upper_mouth-Rx upper_mouth-Ry upper_mouth-Rz upper_mouth-Sx upper_mouth-Sy upper_mouth-Sz lower_mouth-Rx lower_mouth-Ry lower_mouth-Rz lower_mouth-Sx lower_mouth-Sy lower_mouth-Sz tail-Rx tail-Ry tail-Rz tail-Sx tail-Sy tail-Sz front_left_leg-Rx front_left_leg-Ry front_left_leg-Rz front_left_leg-Sx front_left_leg-Sy front_left_leg-Sz front_left_foot-Rx front_left_foot-Ry front_left_foot-Rz front_left_foot-Sx front_left_foot-Sy front_left_foot-Sz front_right_leg-Rx front_right_leg-Ry front_right_leg-Rz front_right_leg-Sx front_right_leg-Sy front_right_leg-Sz front_right_foot-Rx front_right_foot-Ry front_right_foot-Rz front_right_foot-Sx front_right_foot-Sy front_right_foot-Sz back_left_leg-Rx back_left_leg-Ry back_left_leg-Rz back_left_leg-Sx back_left_leg-Sy back_left_leg-Sz back_left_foot-Rx back_left_foot-Ry back_left_foot-Rz back_left_foot-Sx back_left_foot-Sy back_left_foot-Sz back_right_leg-Rx back_right_leg-Ry back_right_leg-Rz back_right_leg-Sx back_right_leg-Sy back_right_leg-Sz back_right_foot-Rx back_right_foot-Ry back_right_foot-Rz back_right_foot-Sx back_right_foot-Sy back_right_foot-Sz hat-Rx hat-Ry hat-Rz hat-Sx hat-Sy hat-Sz ball~Tx ball~Ty ball~Tz ball~Sx ball~Sy ball~Sz body-Rx body-Ry body-Rz body-Sx body-Sy body-Sz spaceship~Tx spaceship~Ty spaceship~Tz spaceship~Sx spaceship~Sy spaceship~Sz body-Rx body-Ry body-Rz body-Sx body-Sy body-Sz sp_image-Rx sp_image-Ry sp_image-Rz sp_image-Sx sp_image-Sy sp_image-Sz
1 -11 3.6 -12.6 -4 -31 0 0 7.1 2.7 7.55 1 1 1 -90 -38.5 0 0.4 0.4 0.4 91.5 0 -90 0.5 0.5 0.5 35 0 0 0.5 0.5 0.5 -30 0 -62.5 0.3 0.3 0.3 -90 0 90 0.3 0.3 0.3 -57.5 -0.5 -171.5 0.3 0.3 0.3 -0.5 -126.5 -90 0.3 0.3 0.3 0 0 0 0.3 0.3 0.4 0 0 0 0.1 0.1 0.2 0 0 90 0.3 0.3 0.3 0 0 0 0.3 0.3 0.4 0 0 0 0.1 0.1 0.2 0 0 90 0.3 0.3 0.3 6.7 1.3 0 1 1 1 0 0 0 1 0.3 0.3 0 0 0 0.3 0.3 0.3 0 0 0 0.1 0.1 0.1 0 -33 0 0.02 0.05 0.05 0 0 0 0.1 0.1 0.1 0 40.5 0 0.02 0.05 0.05 0 -90 0 0.6 0.6 0.6 0 90 30 0.6 0.6 0.6 0 0 0 0.4 0.07 0.25 0 0 0 0.08 0.2 0.08 0 0 0 0.12 0.03 0.09 0 0 0 0.08 0.2 0.08 0 0 0 0.12 0.03 0.09 0 0 0 0.08 0.2 0.08 90 90 0 0.24 0.6 0.8 0 0 0 0.08 0.2 0.08 90 90 0 0.24 0.6 0.8 -90 0 0 0.5 0.5 0.5 6.8 -13.35 6.7 1 1 1 0 0 0 0.1 0.1 0.1 0 2.7 2 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0
2 -11 3.6 -12.6 -4 -31 0 0 7.1 2.7 7.55 1 1 1 -90 -38.5 0 0.4 0.4 0.4 99 3 -90 0.5 0.5 0.5 35 0 0 0.5 0.5 0.5 -30 0 -62.5 0.3 0.3 0.3 -90 0 90 0.3 0.3 0.3 -57.5 -0.5 -171.5 0.3 0.3 0.3 28 -126.5 -90 0.3 0.3 0.3 0 0 0 0.3 0.3 0.4 0 0 0 0.1 0.1 0.2 0 0 90 0.3 0.3 0.3 0 0 0 0.3 0.3 0.4 0 0 0 0.1 0.1 0.2 0 0 90 0.3 0.3 0.3 6.7 1.3 0 1 1 1 0 0 0 1 0.3 0.3 0 0 0 0.3 0.3 0.3 0 0 0 0.1 0.1 0.1 0 -33 0 0.02 0.05 0.05 0 0 0 0.1 0.1 0.1 0 40.5 0 0.02 0.05 0.05 0 -90 0 0.6 0.6 0.6 0 90 30 0.6 0.6 0.6 0 0 0 0.4 0.07 0.25 0 0 0 0.08 0.2 0.08 0 0 0 0.12 0.03 0.09 0 0 0 0.08 0.2 0.08 0 0 0 0.12 0.03 0.09 0 0 0 0.08 0.2 0.08 90 90 0 0.24 0.6 0.8 0 0 0 0.08 0.2 0.08 90 90 0 0.24 0.6 0.8 -90 0 0 0.5 0.5 0.5 6.8 -14.15 6.7 1 1 1 0 0 0 0.1 0.1 0.1 0 2.7 2 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0
3 -11 3.6 -12.6 -4 -31 0 0 7.1 2.7 7.55 1 1 1 -90 -38.5 0 0.4 0.4 0.4 110 3 -90 0.5 0.5 0.5 35 0 0 0.5 0.5 0.5 -30 0 -62.5 0.3 0.3 0.3 -90 0 90 0.3 0.3 0.3 -57.5 -0.5 -171.5 0.3 0.3 0.3 28 -126.5 -90 0.3 0.3 0.3 0 0 0 0.3 0.3 0.4 0 0 0 0.1 0.1 0.2 0 0 90 0.3 0.3 0.3 0 0 0 0.3 0.3 0.4 0 0 0 0.1 0.1 0.2 0 0 90 0.3 0.3 0.3 6.7 1.3 0 1 1 1 0 0 0 1 0.3 0.3 0 0 0 0.3 0.3 0.3 0 0 0 0.1 0.1 0.1 0 -33 0 0.02 0.05 0.05 0 0 0 0.1 0.1 0.1 0 40.5 0 0.02 0.05 0.05 0 -90 0 0.6 0.6 0.6 0 90 30 0.6 0.6 0.6 0 0 0 0.4 0.07 0.25 0 0 0 0.08 0.2 0.08 0 0 0 0.12 0.03 0.09 0 0 0 0.08 0.2 0.08 0 0 0 0.12 0.03 0.09 0 0 0 0.08 0.2 0.08 90 90 0 0.24 0.6 0.8 0 0 0 0.08 0.2 0.08 90 90 0 0.24 0.6 0.8 -90 0 0 0.5 0.5 0.5 6.8 -15.45 6.7 1 1 1 0 0 0 0.1 0.1 0.1 0 2.7 2 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0
5 -11 3.6 -12.6 -4 -31 0 0 7.1 2.7 7.55 1 1 1 -90 -38.5 0 0.4 0.4 0.4 98 3 -90 0.5 0.5 0.5 35 0 0 0.5 0.5 0.5 -30 0 -62.5 0.3 0.3 0.3 -90 0 90 0.3 0.3 0.3 -57.5 -0.5 -171.5 0.3 0.3 0.3 9 -126.5 -90 0.3 0.3 0.3 0 0 0 0.3 0.3 0.4 0 0 0 0.1 0.1 0.2 0 0 90 0.3 0.3 0.3 0 0 0 0.3 0.3 0.4 0 0 0 0.1 0.1 0.2 0 0 90 0.3 0.3 0.3 6.7 1.3 0 1 1 1 0 0 0 1 0.3 0.3 0 0 0 0.3 0.3 0.3 0 0 0 0.1 0.1 0.1 0 -33 0 0.02 0.05 0.05 0 0 0 0.1 0.1 0.1 0 40.5 0 0.02 0.05 0.05 0 -90 0 0.6 0.6 0.6 0 90 30 0.6 0.6 0.6 0 0 0 0.4 0.07 0.25 0 0 0 0.08 0.2 0.08 0 0 0 0.12 0.03 0.09 0 0 0 0.08 0.2 0.08 0 0 0 0.12 0.03 0.09 0 0 0 0.08 0.2 0.08 90 90 0 0.24 0.6 0.8 0 0 0 0.08 0.2 0.08 90 90 0 0.24 0.6 0.8 -90 0 0 0.5 0.5 0.5 6.8 -13.45 6.7 1 1 1 0 0 0 0.1 0.1 0.1 0 2.7 2 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0
7 -11 3.6 -12.6 -4 -31 0 0 7 2.72 7.45 1 1 1 -90 -38.5 0 0.4 0.4 0.4 91 3 -90 0.5 0.5 0.5 35 0 0 0.5 0.5 0.5 -41 -17.5 -9 0.3 0.3 0.3 -90 -23.5 90 0.3 0.3 0.3 -57.5 -0.5 -171.5 0.3 0.3 0.3 10 -141 -90 0.3 0.3 0.3 3.5 27.5 0 0.3 0.3 0.4 0 0 0 0.1 0.1 0.2 0 0 90 0.3 0.3 0.3 0 -12.5 0 0.3 0.3 0.4 0 0 0 0.1 0.1 0.2 0 0 90 0.3 0.3 0.3 6.7 1.3 0 1 1 1 0 0 0 1 0.3 0.3 0 0 0 0.3 0.3 0.3 0 0 0 0.1 0.1 0.1 0 -33 0 0.02 0.05 0.05 0 0 0 0.1 0.1 0.1 0 40.5 0 0.02 0.05 0.05 0 -90 0 0.6 0.6 0.6 0 90 30 0.6 0.6 0.6 0 0 0 0.4 0.07 0.25 0 0 0 0.08 0.2 0.08 0 0 0 0.12 0.03 0.09 0 0 0 0.08 0.2 0.08 0 0 0 0.12 0.03 0.09 0 0 0 0.08 0.2 0.08 90 90 0 0.24 0.6 0.8 0 0 0 0.08 0.2 0.08 90 90 0 0.24 0.6 0.8 -90 0 0 0.5 0.5 0.5 6.74 -13.41 6.48 1 1 1 0 0 0 0.1 0.1 0.1 0 2.7 2 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0
9 -11 3.6 -12.6 -4 -31 0 0 6.7 2.72 7.35 1 1 1 -90 -38.5 0 0.4 0.4 0.4 99.5 3 -90 0.5 0.5 0.5 35 0 0 0.5 0.5 0.5 -30 0 -62.5 0.3 0.3 0.3 -90 0 90 0.3 0.3 0.3 -53.5 9 -171.5 0.3 0.3 0.3 10 -126.5 -90 0.3 0.3 0.3 3.5 6.5 0 0.3 0.3 0.4 0 0 0 0.1 0.1 0.2 0 0 90 0.3 0.3 0.3 3 -1 0 0.3 0.3 0.4 0 0 0 0.1 0.1 0.2 0 0 90 0.3 0.3 0.3 6.7 1.3 0 1 1 1 0 0 0 1 0.3 0.3 0 0 0 0.3 0.3 0.3 0 0 0 0.1 0.1 0.1 0 -33 0 0.02 0.05 0.05 0 0 0 0.1 0.1 0.1 0 40.5 0 0.02 0.05 0.05 0 -90 0 0.6 0.6 0.6 0 90 30 0.6 0.6 0.6 0 0 0 0.4 0.07 0.25 0 0 0 0.08 0.2 0.08 0 0 0 0.12 0.03 0.09 0 0 0 0.08 0.2 0.08 0 0 0 0.12 0.03 0.09 0 0 0 0.08 0.2 0.08 90 90 0 0.24 0.6 0.8 0 0 0 0.08 0.2 0.08 90 90 0 0.24 0.6 0.8 -90 0 0 0.5 0.5 0.5 6.02 -13.99 6.6 1 1 1 0 0 0 0.1 0.1 0.1 0 2.7 2 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0
11 -11 3.6 -12.6 -4 -31 0 0 6.48 2.72 7.09 1 1 1 -90 -38.5 0 0.4 0.4 0.4 106.5 3 -90 0.5 0.5 0.5 35 0 0 0.5 0.5 0.5 -31.5 22 -62.5 0.3 0.3 0.3 -76 3 90 0.3 0.3 0.3 -62 0.5 -171.5 0.3 0.3 0.3 22.5 -130 -90 0.3 0.3 0.3 8 -13 0 0.3 0.3 0.4 0 0 0 0.1 0.1 0.2 0 0 90 0.3 0.3 0.3 -5.5 26 0 0.3 0.3 0.4 0 0 0 0.1 0.1 0.2 0 0 90 0.3 0.3 0.3 6.7 1.3 0 1 1 1 0 0 0 1 0.3 0.3 0 0 0 0.3 0.3 0.3 0 0 0 0.1 0.1 0.1 0 -33 0 0.02 0.05 0.05 0 0 0 0.1 0.1 0.1 0 40.5 0 0.02 0.05 0.05 0 -90 0 0.6 0.6 0.6 0 90 30 0.6 0.6 0.6 0 0 0 0.4 0.07 0.25 0 0 0 0.08 0.2 0.08 0 0 0 0.12 0.03 0.09 0 0 0 0.08 0.2 0.08 0 0 0 0.12 0.03 0.09 0 0 0 0.08 0.2 0.08 90 90 0 0.24 0.6 0.8 0 0 0 0.08 0.2 0.08 90 90 0 0.24 0.6 0.8 -90 0 0 0.5 0.5 0.5 6.24 -15.47 6.08 1 1 1 0 0 0 0.1 0.1 0.1 0 2.7 2 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0
13 -11 3.6 -12.6 -4 -31 0 0 6.02 2.7 6.37 1 1 1 -90 -38.5 0 0.4 0.4 0.4 98 3 -90 0.5 0.5 0.5 35 0 0 0.5 0.5 0.5 -30 -0.5 -62.5 0.3 0.3 0.3 -90 0 90 0.3 0.3 0.3 -62 0.5 -171.5 0.3 0.3 0.3 11 -130 -90 0.3 0.3 0.3 1.5 20.5 0 0.3 0.3 0.4 0 0 0 0.1 0.1 0.2 0 0 90 0.3 0.3 0.3 -1.5 -19 0 0.3 0.3 0.4 0 0 0 0.1 0.1 0.2 0 0 90 0.3 0.3 0.3 6.7 1.3 0 1 1 1 0 0 0 1 0.3 0.3 0 0 0 0.3 0.3 0.3 0 0 0 0.1 0.1 0.1 0 -33 0 0.02 0.05 0.05 0 0 0 0.1 0.1 0.1 0 40.5 0 0.02 0.05 0.05 0 -90 0 0.6 0.6 0.6 0 90 30 0.6 0.6 0.6 0 0 0 0.4 0.07 0.25 0 0 0 0.08 0.2 0.08 0 0 0 0.12 0.03 0.09 0 0 0 0.08 0.2 0.08 0 0 0 0.12 0.03 0.09 0 0 0 0.08 0.2 0.08 90 90 0 0.24 0.6 0.8 0 0 0 0.08 0.2 0.08 90 90 0 0.24 0.6 0.8 -90 0 0 0.5 0.5 0.5 5.8 -13.41 5.38 1 1 1 0 0 0 0.1 0.1 0.1 0 2.7 2 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0
15 -8.4 2.8 -13.3 -4 -42 0 0 5.22 2.68 5.67 1 1 1 -90 -38.5 0 0.4 0.4 0.4 110 -4.5 -128.5 0.5 0.5 0.5 35 0 0 0.5 0.5 0.5 -30 -3 -62.5 0.3 0.3 0.3 -65 21 90 0.3 0.3 0.3 -62 0.5 -171.5 0.3 0.3 0.3 34.5 -130 -90 0.3 0.3 0.3 1.5 -28.5 0 0.3 0.3 0.4 0 0 0 0.1 0.1 0.2 0 0 90 0.3 0.3 0.3 -1.5 6.5 0 0.3 0.3 0.4 0 0 0 0.1 0.1 0.2 0 0 90 0.3 0.3 0.3 6.7 1.3 0 1 1 1 0 0 0 1 0.3 0.3 0 0 0 0.3 0.3 0.3 0 0 0 0.1 0.1 0.1 0 -33 0 0.02 0.05 0.05 0 0 0 0.1 0.1 0.1 0 40.5 0 0.02 0.05 0.05 0 -90 0 0.6 0.6 0.6 0 90 30 0.6 0.6 0.6 0 0 0 0.4 0.07 0.25 0 0 0 0.08 0.2 0.08 0 0 0 0.12 0.03 0.09 0 0 0 0.08 0.2 0.08 0 0 0 0.12 0.03 0.09 0 0 0 0.08 0.2 0.08 90 90 0 0.24 0.6 0.8 0 0 0 0.08 0.2 0.08 90 90 0 0.24 0.6 0.8 -90 0 0 0.5 0.5 0.5 5.36 -15.45 4.92 1 1 1 0 0 0 0.1 0.1 0.1 0 2.7 2 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0
17 -7.1 3.7 -14.1 -15 -53 0 0 4.78 2.68 5.29 1 1 1 -90 -38.5 0 0.4 0.4 0.4 62.5 -1.5 -70 0.5 0.5 0.5 35 0 0 0.5 0.5 0.5 -30 -3 -62.5 0.3 0.3 0.3 -65 21 90 0.3 0.3 0.3 -62 0.5 -171.5 0.3 0.3 0.3 5 -125 -90 0.3 0.3 0.3 1.5 24.5 0 0.3 0.3 0.4 0 0 0 0.1 0.1 0.2 0 0 90 0.3 0.3 0.3 -1.5 -24 0 0.3 0.3 0.4 0 0 0 0.1 0.1 0.2 0 0 90 0.3 0.3 0.3 6.7 1.3 0 1 1 1 0 0 0 1 0.3 0.3 0 0 0 0.3 0.3 0.3 0 0 0 0.1 0.1 0.1 0 -33 0 0.02 0.05 0.05 0 0 0 0.1 0.1 0.1 0 40.5 0 0.02 0.05 0.05 0 -90 0 0.6 0.6 0.6 0 90 30 0.6 0.6 0.6 0 0 0 0.4 0.07 0.25 0 0 0 0.08 0.2 0.08 0 0 0 0.12 0.03 0.09 0 0 0 0.08 0.2 0.08 0 0 0 0.12 0.03 0.09 0 0 0 0.08 0.2 0.08 90 90 0 0.24 0.6 0.8 0 0 0 0.08 0.2 0.08 90 90 0 0.24 0.6 0.8 -90 0 0 0.5 0.5 0.5 4.48 -13.39 4.38 1 1 1 0 0 0 0.1 0.1 0.1 0 2.7 2 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0
